"STATION","DATE","TOBS"
"USC00410433","2015-04-07","66"
"USC00410433","2015-04-08","68"
"USC00410433","2015-04-09","68"
"USC00410433","2015-04-10","61"
"USC00410433","2015-04-11","59"
"USC00410433","2015-04-12","65"
"USC00410433","2015-04-13","64"
"USC00410433","2015-04-14","60"
"USC00410433","2015-04-15","51"
"USC00410433","2015-04-16","65"
"USC00410433","2015-04-17","64"
"USC00410433","2015-04-18","63"
"USC00410433","2015-04-19","59"
"USC00410433","2015-04-20","51"
"USC00410433","2015-04-21","48"
"USC00410433","2015-04-22","65"
"USC00410433","2015-04-23","67"
"USC00410433","2015-04-24","69"
"USC00410433","2015-04-25","69"
"USC00410433","2015-04-26","69"
"USC00410433","2015-04-27","62"
"USC00410433","2015-04-28","58"
"USC00410433","2015-04-29","47"
"USC00410433","2015-04-30","48"
"USC00410433","2015-05-01","52"
"USC00410433","2015-05-02","54"
"USC00410433","2015-05-03","55"
"USC00410433","2015-05-04","66"
"USC00410433","2015-05-05","66"
"USC00410433","2015-05-06","68"
"USC00410433","2015-05-07","71"
"USC00410433","2015-05-08","72"
"USC00410433","2015-05-09","71"
"USC00410433","2015-05-10","74"
"USC00410433","2015-05-11","69"
"USC00410433","2015-05-12","63"
"USC00410433","2015-05-13","66"
"USC00410433","2015-05-14","69"
"USC00410433","2015-05-15","70"
"USC00410433","2015-05-16","67"
"USC00410433","2015-05-17","66"
"USC00410433","2015-05-18","71"
"USC00410433","2015-05-19","73"
"USC00410433","2015-05-20","72"
"USC00410433","2015-05-21","62"
"USC00410433","2015-05-22","64"
"USC00410433","2015-05-23","70"
"USC00410433","2015-05-24","62"
"USC00410433","2015-05-25","71"
"USC00410433","2015-05-26","64"
"USC00410433","2015-05-27","65"
"USC00410433","2015-05-28","73"
"USC00410433","2015-05-29","63"
"USC00410433","2015-05-30","70"
"USC00410433","2015-05-31","65"
"USC00410433","2015-06-01","63"
"USC00410433","2015-06-02","66"
"USC00410433","2015-06-03","65"
"USC00410433","2015-06-04","67"
"USC00410433","2015-06-05","67"
"USC00410433","2015-06-06","68"
"USC00410433","2015-06-07","68"
"USC00410433","2015-06-08","69"
"USC00410433","2015-06-09","70"
"USC00410433","2015-06-10","70"
"USC00410433","2015-06-11","73"
"USC00410433","2015-06-12","75"
"USC00410433","2015-06-13","75"
"USC00410433","2015-06-14","70"
"USC00410433","2015-06-15","73"
"USC00410433","2015-06-16","73"
"USC00410433","2015-06-17","70"
"USC00410433","2015-06-18","72"
"USC00410433","2015-06-19","73"
"USC00410433","2015-06-20","74"
"USC00410433","2015-06-21","75"
"USC00410433","2015-06-22","75"
"USC00410433","2015-06-23","75"
"USC00410433","2015-06-24","72"
"USC00410433","2015-06-25","72"
"USC00410433","2015-06-26","74"
"USC00410433","2015-06-27","74"
"USC00410433","2015-06-28","72"
"USC00410433","2015-06-29","72"
"USC00410433","2015-06-30","74"
"USC00410433","2015-07-01","68"
"USC00410433","2015-07-02","69"
"USC00410433","2015-07-03","75"
"USC00410433","2015-07-04","74"
"USC00410433","2015-07-05","74"
"USC00410433","2015-07-06","75"
"USC00410433","2015-07-07","76"
"USC00410433","2015-07-08","76"
"USC00410433","2015-07-09","75"
"USC00410433","2015-07-10","73"
"USC00410433","2015-07-11","74"
"USC00410433","2015-07-12","73"
"USC00410433","2015-07-13","74"
"USC00410433","2015-07-14","72"
"USC00410433","2015-07-15","73"
"USC00410433","2015-07-16","73"
"USC00410433","2015-07-17","75"
"USC00410433","2015-07-18","76"
"USC00410433","2015-07-19","74"
"USC00410433","2015-07-20","74"
"USC00410433","2015-07-21","75"
"USC00410433","2015-07-22","75"
"USC00410433","2015-07-23","75"
"USC00410433","2015-07-24","76"
"USC00410433","2015-07-25","75"
"USC00410433","2015-07-26","75"
"USC00410433","2015-07-27","76"
"USC00410433","2015-07-28","76"
